movie_title,director_name,actor_1_name,actor_2_name,actor_3_name,genres,combination
avatar,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,Action Adventure Fantasy Sci-Fi,james cameron cch pounder joel david moore wes studi action adventure fantasy sci-fi
pirates of the caribbean: at world's end,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,gore verbinski johnny depp orlando bloom jack davenport action adventure fantasy
spectre,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,Action Adventure Thriller,sam mendes christoph waltz rory kinnear stephanie sigman action adventure thriller
the dark knight rises,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,Action Thriller,christopher nolan tom hardy christian bale joseph gordon-levitt action thriller
star wars: episode vii - the force awakens,Doug Walker,Doug Walker,Rob Walker,unknown,Documentary,doug walker doug walker rob walker unknown documentary
john carter,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,Action Adventure Sci-Fi,andrew stanton daryl sabara samantha morton polly walker action adventure sci-fi
spider-man 3,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,Action Adventure Romance,sam raimi j.k. simmons james franco kirsten dunst action adventure romance
tangled,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,nathan greno brad garrett donna murphy m.c. gainey adventure animation comedy family fantasy musical romance
avengers: age of ultron,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,joss whedon chris hemsworth robert downey jr. scarlett johansson action adventure sci-fi
harry potter and the half-blood prince,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,Adventure Family Fantasy Mystery,david yates alan rickman daniel radcliffe rupert grint adventure family fantasy mystery
batman v superman: dawn of justice,Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,Action Adventure Sci-Fi,zack snyder henry cavill lauren cohan alan d. purwin action adventure sci-fi
superman returns,Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,Action Adventure Sci-Fi,bryan singer kevin spacey marlon brando frank langella action adventure sci-fi
quantum of solace,Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,Action Adventure,marc forster giancarlo giannini mathieu amalric rory kinnear action adventure
pirates of the caribbean: dead man's chest,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,Action Adventure Fantasy,gore verbinski johnny depp orlando bloom jack davenport action adventure fantasy
the lone ranger,Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,Action Adventure Western,gore verbinski johnny depp ruth wilson tom wilkinson action adventure western
man of steel,Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,Action Adventure Fantasy Sci-Fi,zack snyder henry cavill christopher meloni harry lennix action adventure fantasy sci-fi
the chronicles of narnia: prince caspian,Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,Action Adventure Family Fantasy,andrew adamson peter dinklage pierfrancesco favino damián alcázar action adventure family fantasy
the avengers,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,Action Adventure Sci-Fi,joss whedon chris hemsworth robert downey jr. scarlett johansson action adventure sci-fi
